test_name,lucknow_price,url
"17-HYDROXYPREGNENOLONE in Lucknow - ₹10700.00, Home Collection Available",10700.00,https://www.lalpathlabs.com/test/pathology/17-hydroxypregnenolone/lucknow
Diagnostic Centre and Pathology Lab for Blood Test | Dr Lal PathLabs,,https://www.lalpathlabs.com/test/pathology/5-fluorouracil-toxicity/lucknow
"17-HYDROXYPROGESTERONE (17-OHP) in Lucknow - ₹1380.00, Home Collection Available",1380.00,https://www.lalpathlabs.com/test/pathology/17-ohp/lucknow
"ACETYLCHOLINE RECEPTOR (ACHR) BLOCKING ANTIBODY in Lucknow - ₹12900.00, Home Collection Available",12900.00,https://www.lalpathlabs.com/test/pathology/acetylcholine-receptor-achr-blocking-antibody/lucknow
"ADENOSINE DEAMINASE; ADA in Lucknow - ₹540.00, Home Collection Available",540.00,https://www.lalpathlabs.com/test/pathology/adenosine-deaminase-ada/lucknow
"ABSOLUTE EOSINOPHIL COUNT; AEC in Lucknow - ₹120.00, Home Collection Available",120.00,https://www.lalpathlabs.com/test/pathology/absolute-eosinophil-count-aec/lucknow
"ABSOLUTE NEUTROPHIL COUNT in Lucknow - ₹160.00, Home Collection Available",160.00,https://www.lalpathlabs.com/test/pathology/absolute-neutrophil-count/lucknow
"ABSOLUTE LYMPHOCYTE COUNT in Lucknow - ₹160.00, Home Collection Available",160.00,https://www.lalpathlabs.com/test/pathology/absolute-lymphocyte-count/lucknow
"ACUTE KIDNEY INJURY PANEL in Lucknow - ₹8520.00, Home Collection Available",8520.00,https://www.lalpathlabs.com/test/pathology/acute-kidney-injury-panel/lucknow
"17-HYDROXYPROGESTERONE NEWBORN SCREEN; CAH SCREEN in Lucknow - ₹280.00, Home Collection Available",280.00,https://www.lalpathlabs.com/test/pathology/17-hydroxyprogesterone-newborn-screen-cah-screen/lucknow
"5 - HIAA (5-HYDROXY INDOLE ACETIC ACID), RANDOM URINE in Lucknow - ₹3740.00, Home Collection Available",3740.00,https://www.lalpathlabs.com/test/pathology/5-hiaa-random-urine/lucknow
"ABORTION PANEL in Lucknow - ₹17240.00, Home Collection Available",17240.00,https://www.lalpathlabs.com/test/pathology/abortion-panel/lucknow
"ACETYLCHOLINE RECEPTOR (ACHR) BINDING ANTIBODY in Lucknow - ₹4730.00, Home Collection Available",4730.00,https://www.lalpathlabs.com/test/pathology/achr-binding-antibody/lucknow
"ALPHA-1-ANTITRYPSIN QUANTITATION; AAT in Lucknow - ₹2170.00, Home Collection Available",2170.00,https://www.lalpathlabs.com/test/pathology/aat/lucknow
"ACETYLCHOLINE RECEPTOR (ACHR) MODULATING ANTIBODY in Lucknow - ₹17400.00, Home Collection Available",17400.00,https://www.lalpathlabs.com/test/pathology/acetylcholine-receptor-achr-modulating-antibody/lucknow
"ANTI IA-2; INSULINOMA ASSOCIATED ANTIGEN, SERUM in Lucknow - ₹5320.00, Home Collection Available",5320.00,https://www.lalpathlabs.com/test/pathology/acute-kidney-injurys-panel/lucknow
"5-AMINOLEVULINIC ACID (5 -ALA), RANDOM, URINE in Lucknow - ₹4240.00, Home Collection Available",4240.00,https://www.lalpathlabs.com/test/pathology/5-ala-qualitative-urine/lucknow
"5α-DIHYDROTESTOSTERONE; 5α-DHT in Lucknow - ₹2860.00, Home Collection Available",2860.00,https://www.lalpathlabs.com/test/pathology/5a-dihydrotestosterone-dht/lucknow
"ACTN3 (SPORTS GENE), GENOTYPING in Lucknow - ₹6700.00, Home Collection Available",6700.00,https://www.lalpathlabs.com/test/pathology/actn3-sports-gene-genotyping/lucknow
"ADENOVIRUS ANTIGEN FOR RESPIRATORY INFECTIONS in Lucknow - ₹1670.00, Home Collection Available",1670.00,https://www.lalpathlabs.com/test/pathology/adenovirus-antigen-for-respiratory-infections/lucknow
"ADENOVIRUS, QUALITATIVE PCR in Lucknow - ₹4240.00, Home Collection Available",4240.00,https://www.lalpathlabs.com/test/pathology/adenovirus-qualitative-pcr/lucknow
"AFP (ALPHA FETOPROTEIN): MATERNAL in Lucknow - ₹890.00, Home Collection Available",890.00,https://www.lalpathlabs.com/test/pathology/afp-maternal/lucknow
"ALBUMIN, SERUM in Lucknow - ₹110.00, Home Collection Available",110.00,https://www.lalpathlabs.com/test/pathology/albumin-serum/lucknow
"ALCOHOL (ETHANOL) SCREEN, SERUM in Lucknow - ₹740.00, Home Collection Available",740.00,https://www.lalpathlabs.com/test/pathology/alcohol-screen-blood/lucknow
"ALDEHYDE CHOPRA TEST FOR KALA AZAR in Lucknow - ₹280.00, Home Collection Available",280.00,https://www.lalpathlabs.com/test/pathology/aldehyde-chopra-test-for-kalaazar/lucknow
"ALCOHOL BIOMARKERS: ETHYL GLUCURONIDE (ETG) &amp; ETHYL SULPHATE (ETS) , URINE in Lucknow - ₹3150.00, Home Collection Available",3150.00,https://www.lalpathlabs.com/test/pathology/alcohol-ethyl-glucuronide-etg-ethyl-sulphate-ets-quantitative-assay-urine/lucknow
"ALKALINE PHOSPHATASE (ALP) ISOENZYMES in Lucknow - ₹5520.00, Home Collection Available",5520.00,https://www.lalpathlabs.com/test/pathology/alkaline-phosphatase-alp-isoenzymes/lucknow
"ALDOLASE in Lucknow - ₹750.00, Home Collection Available",750.00,https://www.lalpathlabs.com/test/pathology/aldolase/lucknow
"ALLERGY: 107 ALLERGENS, LIA in Lucknow - ₹6400.00, Home Collection Available",6400.00,https://www.lalpathlabs.com/test/pathology/allergy-allergens-lia-z223/lucknow
"ALLERGY: ECZEMA SCREENING PANEL, PEDIATRIC in Lucknow - ₹5810.00, Home Collection Available",5810.00,"https://www.lalpathlabs.com/test/pathology/allergy-eczema-screening-panel,-pediatric/lucknow"
"BETA HCG TOTAL QUANTITATIVE: TUMOR MARKER in Lucknow - ₹690.00, Home Collection Available",690.00,https://www.lalpathlabs.com/test/pathology/all-cytogenetics-panel/lucknow
